squeeze_threshold,volume_multiplier,tp_pct,initial_equity,final_equity,total_return_pct,max_drawdown_pct,sharpe_ratio,days_simulated
0.002,2.0,1.0,200.26,240.95,20.32,-0.19,23.36,14
0.002,2.0,0.5,200.26,240.95,20.32,-0.19,23.36,14
0.002,2.0,2.0,200.26,240.95,20.32,-0.19,23.36,14
0.003,2.0,1.0,200.18,227.41,13.6,-1.68,15.36,14
0.003,2.0,2.0,200.18,227.41,13.6,-1.68,15.36,14
0.003,2.0,0.5,200.18,227.41,13.6,-1.68,15.36,14
0.002,1.5,1.0,200.26,227.19,13.45,-0.36,23.31,14
0.002,1.5,0.5,200.26,227.19,13.45,-0.36,23.31,14
0.002,1.5,2.0,200.26,227.19,13.45,-0.36,23.31,14
0.004,1.5,0.5,201.58,227.86,13.04,-2.26,10.88,14
0.004,1.5,2.0,201.58,227.86,13.04,-2.26,10.88,14
0.004,2.0,0.5,201.58,227.86,13.04,-2.26,10.88,14
0.004,2.0,1.0,201.58,227.86,13.04,-2.26,10.88,14
0.004,1.5,1.0,201.58,227.86,13.04,-2.26,10.88,14
0.004,2.0,2.0,201.58,227.86,13.04,-2.26,10.88,14
0.003,1.5,2.0,200.18,219.87,9.84,-3.02,8.14,14
0.003,1.5,0.5,200.18,219.87,9.84,-3.02,8.14,14
0.003,1.5,1.0,200.18,219.87,9.84,-3.02,8.14,14
